line_number,fluid_type,temperature_C,nps,pipe_sch
"KMTMELCB002-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMELCB003-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMELCB004-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMELCB005-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMELCB006-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMELCB007-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMELCB008-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMELCB009-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMELCB010-8""-AB-H",Hot Brine,209.7953368,8,20
"KMTMGLBG001-4""-AC-H",Two Phase,221.927098,4,40
"KMTMGLBH001-4""-AC-H",Two Phase,221.927098,4,40
"KMTMGLBH101-4""-AC-H",Two Phase,221.927098,4,20
"KMTMGLBH102-2""-AC-H",Two Phase,203.5992723,2,40
"KMTMGLBH103-4""-AC-H",Two Phase,203.5992723,4,20
"KMTMGLBH104-4""-AC-H",Two Phase,200.6036789,4,20
"KMTMGLBH105-2""-AC-H",Two Phase,221.927098,2,80
"KMTMGLBH201-20""-AC-H",Two Phase,221.927098,20,20
"KMTMGLCB001-8""-AB-H",Two Phase,203.5992723,8,20
"KMTMGLCB002-8""-AB-H",Two Phase,203.5992723,8,20
"KMTMGLCB003-6""-AB-H",Two Phase,203.5992723,6,20
"KMTMGLCB004-8""-AB-H",Two Phase,203.5992723,8,20
"KMTMGLCB005-8""-AB-H",Two Phase,203.5992723,8,40
"KMTMGLCB006-6""-AB-H",Two Phase,203.5992723,6,20
"KMTMGLCB007-8""-AB-H",Two Phase,203.5992723,8,20
"KMTMGLCB010-8""-AB-H",Two Phase,221.927098,8,20
"KMTMGLCB010-8""-AB-H",Two Phase,203.5992723,8,20
"KMTMGSLBG001-2""-AC-H",Steam,182.4085731,2,80
"KMTMGSLBG002-2""-AC-H",Steam,182.4085731,2,80
"KMTMGSLBG003-2""-AC-H",Steam,182.4085731,2,80
"KMTMGSLBG004-2""-AC-H",Steam,182.4085731,2,80
"KMTMGSLBHA01-4""-AC-H",Steam,182.4085731,4,40
"KMTMGSLBHA02-4""-AC-H",Steam,182.4085731,4,40
"KMTMGSLBK002-24""-AC-H",Steam,182.4085731,24,20
"KMTMGSLBK004-24""-AC-H",Steam,182.4085731,24,20
"KMTMGSLBK006-24""-AC-H",Steam,182.4085731,24,40
"KMTMGSLBK008-24""-AC-H",Steam,182.4085731,24,20
"KMTMPLBC101-6""-AB-H",Cold Brine,220.6798951,6,40
"KMTMPLBC102-10""-AB-H",Cold Brine,220.6798951,10,40
"KMTMPLBC103-10""-AB-H",Cold Brine,220.6798951,10,40
"KMTMPLBC104-10""-AB-H",Cold Brine,220.6798951,10,40
"KMTMPLBG001-4""-AB-H",Cold Brine,60,4,40
"KMTMPLBH001-4""-AC-H",Cold Brine,60,4,40
"KMTMPLBH002-4""-AC-H",Cold Brine,60,4,40
"KMTMPLBH003-4""-AC-H",Cold Brine,60,4,40
"KMTMPLBH003-4""-AC-H",Cold Brine,60,4,40
"KMTMPLCB301-18""-AB-H",Cold Brine,60,18,40
"KMTMRSLBU201-20""-AC-H",Hot Brine,201.7160878,20,40
"KMTMRSLBU202-20""-AC-H",Hot Brine,201.7160878,20,40
"KMTMRSLCB301-8""-AC-H",Cold Brine,60,8,20
"KMTMRSLCB302-8""-AC-H",Cold Brine,60,8,20
"KMTMRSLCB303-6""-AC-H",Cold Brine,60,6,40
"KMTMRSLCB304-12""-AC-H",Cold Brine,60,12,40
"KMTMRSLCB305-8""-AC-H",Cold Brine,60,8,20
"KMTMRSLCB306-6""-AC-H",Cold Brine,60,6,40
"KMTMRSLCB307-12""-AC-H",Cold Brine,60,12,40
"KMTMRSLCB308-8""-AC-H",Cold Brine,60,8,20
"KMTMRSLCB309-6""-AC-H",Cold Brine,60,6,40
"KMTMRSLCB310-12""-AC-H",Cold Brine,60,12,40
"KMTMRSLCB311-8""-AC-H",Cold Brine,60,8,20
"KMTMRSLCB312-6""-AC-H",Cold Brine,60,6,40
"KMTMRSLCB313-12""-AC-H",Cold Brine,60,12,40
"KMTMRSLCB314-8""-AC-H",Cold Brine,60,8,20
"KMTMRSLCB315-6""-AC-H",Cold Brine,60,6,40
"KMTMRSLCB316-12""-AC-H",Cold Brine,60,12,40
